seed,modelo,g_ajustada,rmse,mae,r2,r,rmse_trivial,g_mediana,err_rel_%
0,fisica_g_global,-9.374927264767521,0.2629881569139227,0.10015701381211893,0.7523727200251936,0.9126051960191812,0.5284902114389521,-9.374927264767521,4.434992204204681
0,ajuste_por_clip,,0.040967704799233215,0.029077202632529456,0.9939909008318105,0.996990923144143,0.5284902114389521,-9.510754892820247,3.0504088397528433
1,fisica_g_global,-9.432059232288912,0.23026347061937197,0.10067095459821859,0.7992382119210617,0.9246164416833348,0.5139069827085093,-9.432059232288912,3.8526072141803076
1,ajuste_por_clip,,0.03960665894633102,0.028323530405994213,0.9940602607537105,0.9970257071679297,0.5139069827085093,-9.409578473164139,4.081768877022036
2,fisica_g_global,-9.437511706682855,0.22593672642797094,0.08289443496960099,0.7962306919849843,0.927349835199139,0.5005154025256607,-9.437511706682855,3.797026435444907
2,ajuste_por_clip,,0.04009360714763113,0.0281945188536519,0.993583246325946,0.9967864597424797,0.5005154025256607,-9.38399089471363,4.342600461634764
3,fisica_g_global,-9.35396876531588,0.13644979342932512,0.06681530406337878,0.9352451019587928,0.9684987230238548,0.5362120514332375,-9.35396876531588,4.648636439185733
3,ajuste_por_clip,,0.03884921514246757,0.028015735597532503,0.9947508213049112,0.9973719573483663,0.5362120514332375,-9.652743993637019,1.6030173941180583
4,fisica_g_global,-9.409578473164139,0.154254941156217,0.07005004353936811,0.9228439369193221,0.9637181844137354,0.5553337327098073,-9.409578473164139,4.081768877022036
4,ajuste_por_clip,,0.04078288258871969,0.0293538744740436,0.994606785062314,0.9972997468476136,0.5553337327098073,-9.425717257843768,3.9172552717250992
