seed,formulacion,arquitectura,clip,g_pred,g_real
0,v1,simple,538.txt,-1.0621451065621675e-07,-9.881217804768164
0,v1,simple,069.txt,-5.374386941504358e-07,-9.102144193141854
0,v1,simple,595.txt,-6.893773124771159e-08,-7.764935461454207
0,v1,simple,347.txt,-1.2512267912967716e-06,-10.165481945738474
0,v1,simple,419.txt,-7.678709969135572e-07,-9.83198691173855
0,v1,simple,124.txt,-6.140627270250122e-07,-9.07932985575888
0,v1,simple,183.txt,-1.0850255779916e-06,-9.735830977948906
0,v1,simple,471.txt,-4.5225192849894444e-07,-8.232789432212728
0,v1,simple,157.txt,-7.678709969135572e-07,-7.266332938694158
0,v1,simple,582.txt,-7.649934525318254e-07,-9.372186677615248
0,v1,simple,104.txt,-6.299033082839591e-07,-9.350836260814894
0,v1,simple,545.txt,-7.051255977647352e-07,-10.67282880892517
0,v1,simple,096.txt,-6.399059512946192e-07,-10.167590225954557
0,v1,simple,073.txt,-7.649934525318254e-07,-10.684917844551844
0,v1,simple,557.txt,-4.5225192849894444e-07,-10.409928984434796
0,v1,simple,429.txt,1.8831147370927515e-07,-11.36098227621954
0,v1,simple,047.txt,2.553428709479826e-07,-4.712565156530055
0,v1,simple,364.txt,-1.0621451065621675e-07,-9.014035104094397
0,v1,simple,316.txt,-1.2512267912967716e-06,-7.168494641472545
0,v1,simple,177.txt,-5.283953580193317e-07,-9.203605497958852
0,v1,simple,100.txt,-1.0850255779916e-06,-9.961958568013523
0,v1,simple,280.txt,-1.2512267912967716e-06,-9.028994295607738
0,v1,simple,237.txt,-7.051255977647352e-07,-8.373681446734182
0,v1,simple,421.txt,-7.017411791806363e-07,-10.388344085600835
0,v1,simple,057.txt,3.100827073512964e-07,-3.344238708132723
0,v1,simple,540.txt,-7.017411791806363e-07,-11.079055831489429
0,v1,simple,032.txt,1.6651225528450648e-07,-1.8429421738316234
0,v1,simple,541.txt,-4.5225192849894444e-07,-9.903803879657707
0,v1,simple,014.txt,-1.2512267912967716e-06,-9.39788340390975
0,v1,simple,021.txt,-5.457804705745199e-07,-9.959337163441791
0,v1,simple,412.txt,-7.678709969135572e-07,-8.079888413559862
0,v1,simple,446.txt,-4.5225192849894444e-07,-9.421910072777887
0,v1,simple,463.txt,-1.0850255779916e-06,-10.261997602655693
0,v1,simple,399.txt,-7.051255977647352e-07,-8.568708456394493
0,v1,simple,107.txt,-5.457804705745199e-07,-9.947856391215247
0,v1,simple,227.txt,-1.0621451065621675e-07,-9.829859183119327
0,v1,simple,604.txt,3.100827073512964e-07,-8.70983375156192
0,v1,simple,092.txt,-7.388875667390151e-07,-7.709714579003781
0,v1,simple,553.txt,-5.283953580193317e-07,-10.339736082711072
0,v1,simple,083.txt,-7.388875667390151e-07,-10.052418871527102
0,v1,simple,337.txt,-7.017411791806363e-07,-9.892620951418117
0,v1,simple,498.txt,-1.3274038332491859e-06,-10.137870404903728
0,v1,simple,335.txt,-6.399059512946192e-07,-9.821874118329681
0,v1,simple,142.txt,-7.051255977647352e-07,-8.881954119192589
0,v1,simple,369.txt,-5.374386941504358e-07,-9.009621376887772
0,v1,simple,397.txt,-6.140627270250122e-07,-9.429974041708803
0,v1,simple,263.txt,-5.457804705745199e-07,-7.329693002221016
0,v1,simple,179.txt,-5.374386941504358e-07,-8.677252458993912
0,v1,simple,473.txt,-6.286504755201053e-07,-10.367363070789683
0,v1,simple,216.txt,-6.286504755201053e-07,-8.921287674933915
0,v1,simple,576.txt,2.553428709479826e-07,-9.510754892820247
0,v1,simple,300.txt,-6.299033082839591e-07,-8.971240057955411
0,v1,simple,136.txt,-7.017411791806363e-07,-8.27048853529589
0,v1,simple,580.txt,1.8831147370927515e-07,-9.434733023626436
0,v1,simple,333.txt,-6.399059512946192e-07,-7.821008623756499
0,v1,simple,431.txt,-6.140627270250122e-07,-9.98019158776806
0,v1,simple,537.txt,-7.649934525318254e-07,-10.458447291017904
0,v1,simple,555.txt,-4.0234625965094644e-07,-9.766044737064815
0,v1,simple,250.txt,-6.299033082839591e-07,-10.013334319265674
0,v1,simple,528.txt,-4.691483507961119e-07,-9.726846491165402
0,v1,simple,581.txt,-1.3274038332491859e-06,-10.985302885440332
0,v1,simple,461.txt,-4.5225192849894444e-07,-10.24267652916801
0,v1,simple,434.txt,-6.140627270250122e-07,-9.25012172093402
0,v1,simple,457.txt,-7.649934525318254e-07,-9.712162210730128
0,v1,simple,370.txt,-6.399059512946192e-07,-10.657806253476506
0,v1,simple,460.txt,-4.5225192849894444e-07,-10.586549756334612
0,v1,simple,245.txt,-5.457804705745199e-07,-11.33517956852247
0,v1,simple,007.txt,-9.147833926328236e-07,-7.030778792351799
0,v1,simple,378.txt,1.8831147370927515e-07,-9.701211928853825
0,v1,simple,239.txt,-7.678709969135572e-07,-11.377591495839727
0,v1,simple,084.txt,-6.399059512946192e-07,-8.527038155619664
