model,model_desc,epochs,training_time,rmse,mae
red1_simple,Red simple 1→2→1,10,3.148249387741089,0.6748585437973474,0.57600516
red1_simple,Red simple 1→2→1,20,2.595146656036377,0.6061433541006347,0.511378
red1_simple,Red simple 1→2→1,50,8.63794493675232,0.5235734165288104,0.44786042
red1_simple,Red simple 1→2→1,100,14.806416034698486,0.6185630968809259,0.5223188
red1_simple,Red simple 1→2→1,200,29.12169098854065,0.6028814842101625,0.50601697
red1_simple,Red simple 1→2→1,400,59.143051624298096,0.5125692739421663,0.4331883
red1_simple,Red simple 1→2→1,700,101.85799980163574,0.6029093885696458,0.5060951
red2_medium,Red 3→4→1,10,1.4625043869018555,0.5874135055179135,0.4932033
red2_medium,Red 3→4→1,20,2.899397134780884,0.5570547069516761,0.47239348
red2_medium,Red 3→4→1,50,7.497427225112915,0.5116620505566869,0.43189678
red2_medium,Red 3→4→1,100,14.570311546325684,0.5095829837462047,0.43035868
red2_medium,Red 3→4→1,200,32.078736543655396,0.5072581860449078,0.42678252
red2_medium,Red 3→4→1,400,59.86523461341858,0.5105845279132775,0.4306918
red2_medium,Red 3→4→1,700,100.68561625480652,0.5063694918861916,0.4265107
redtanh_deep,Red Tanh profunda,10,1.758526086807251,0.516410316301227,0.43601057
redtanh_deep,Red Tanh profunda,20,3.1313164234161377,0.5134109878892619,0.4346568
redtanh_deep,Red Tanh profunda,50,8.37400507926941,0.5129692580992976,0.433603
redtanh_deep,Red Tanh profunda,100,16.441770553588867,0.5128521488630022,0.43359786
redtanh_deep,Red Tanh profunda,200,32.63106846809387,0.5129210928636344,0.43399844
redtanh_deep,Red Tanh profunda,400,67.43491554260254,0.5122174751955224,0.43244526
redtanh_deep,Red Tanh profunda,700,109.56039118766785,0.5120818909836092,0.43219477
