t,vy,ay,y_real,y_pred
0.0,0.0,0.0,-0.9311618,-0.84288454
0.01666667,-0.1873074,0.0,-0.9311737,-0.8724915
0.03333333,-0.1883784,3.166565,-0.9374053,-0.907174
0.05,-0.002188477,-20.26453,-0.9374529,-0.9149158
0.06666667,-0.7790931,-13.37167,-0.9374783,-0.93919975
0.08333333,-0.780982,-38.28391,-0.9634227,-0.9342723
0.1,-1.507865,0.8450736,-0.963511,-0.99215716
0.1166667,-1.507617,25.81053,-1.013685,-0.9846504
0.1333333,-0.003650707,-70.2083,-1.013765,-1.0092868
0.15,-3.554784,-60.81398,-1.013807,-1.0021172
0.1666667,-3.553534,60.96056,-1.132258,-0.9526586
0.1833333,-0.0,7.173292,-1.132258,-1.2369277
0.2,-3.344313,-57.33109,-1.132258,-1.1204914
0.2166667,-3.344313,57.33109,-1.243735,-1.0925139
0.2333333,-0.0,114.6622,-1.243735,-1.1761992
0.25,-0.0,36.7754,-1.243735,-1.3641835
0.2666667,1.072616,-151.0361,-1.243735,-1.1886319
0.2833333,-3.868912,-103.0996,-1.207981,-1.2274879
0.3,-4.941527,-118.4361,-1.372699,-1.227698
0.3166667,-4.852533,86.23752,-1.372699,-1.2879817
0.3333333,-4.852533,83.18628,-1.53445,-1.3287517
0.35,-0.0,-31.47589,-1.53445,-1.5320377
0.3666667,-5.77058,-98.66048,-1.53445,-1.3956058
0.3833333,-5.762887,99.00995,-1.726802,-1.4532284
0.4,0.006346646,-4.869101,-1.726546,-1.6837293
0.4166667,-5.909422,-101.522,-1.726591,-1.4999695
0.4333333,-5.908076,101.3275,-1.923527,-1.5750773
0.45,-0.0,-29.01001,-1.923527,-1.7567683
0.4666667,-6.754201,-115.7863,-1.923527,-1.5782137
0.4833333,-6.754201,115.7863,-2.148667,-1.6993582
0.5,-0.0,53.95867,-2.148667,-1.9433544
0.5166667,-5.180407,0.0,-2.148667,-1.8694854
0.5333333,0.0,0.0,-2.321347,-1.98574
0.0,0.0,0.0,-1.340811,-0.84288454
0.01666667,-0.006046755,0.0,-1.341061,-0.8775015
0.03333333,0.002664543,-34.92681,-1.341013,-0.85692424
0.05,-1.024873,-17.84299,-1.340973,-0.89050454
0.06666667,-1.031397,17.35218,-1.375175,-0.90950465
0.08333333,-0.008388399,35.15342,-1.375353,-0.97431266
0.1,-0.004963992,-66.44202,-1.375455,-0.94567865
0.1166667,-1.945694,-33.28361,-1.375518,-0.99039537
0.1333333,-1.946688,-114.1759,-1.440311,-0.9020728
0.15,-4.30537,-7.062758,-1.440408,-1.0123228
0.1666667,-4.302481,74.19279,-1.583824,-0.9223728
0.1833333,0.009826838,147.6606,-1.583824,-0.99601203
0.2,0.009200319,-81.98198,-1.583496,-1.1300349
0.2166667,-2.386541,-41.95636,-1.583517,-1.1925999
0.2333333,-2.407171,40.33939,-1.663047,-1.2069232
0.25,-0.02764647,29.778,-1.663756,-1.3759367
0.2666667,-1.531213,-254.8076,-1.663969,-0.9840806
0.2833333,-8.218752,-88.39418,-1.714796,-1.1979779
0.3,-6.69393,167.0327,-1.937927,-1.248659
