t,y_real,y_pred
0.0,-0.9311618,-0.90192914
0.01666667,-0.9311737,-0.90699863
0.03333333,-0.9374053,-0.9126687
0.05,-0.9374529,-0.9191561
0.06666667,-0.9374783,-0.9267726
0.08333333,-0.9634227,-0.9359569
0.1,-0.963511,-0.94730467
0.1166667,-1.013685,-0.96158814
0.1333333,-1.013765,-0.979738
0.15,-1.013807,-1.0027493
0.1666667,-1.132258,-1.0314661
0.1833333,-1.132258,-1.0662383
0.2,-1.132258,-1.1065472
0.2166667,-1.243735,-1.150825
0.2333333,-1.243735,-1.1967041
0.25,-1.243735,-1.2416862
0.2666667,-1.243735,-1.2838793
0.2833333,-1.207981,-1.3224114
0.3,-1.372699,-1.3573998
0.3166667,-1.372699,-1.3896406
0.3333333,-1.53445,-1.4202487
0.35,-1.53445,-1.4503653
0.3666667,-1.53445,-1.4809552
0.3833333,-1.726802,-1.5126745
0.4,-1.726546,-1.5458004
0.4166667,-1.726591,-1.5802355
0.4333333,-1.923527,-1.615622
0.45,-1.923527,-1.6515672
0.4666667,-1.923527,-1.6879251
0.4833333,-2.148667,-1.7250156
0.5,-2.148667,-1.7636404
0.5166667,-2.148667,-1.8047642
0.5333333,-2.321347,-1.8488529
0.0,-1.340811,-0.90192914
0.01666667,-1.341061,-0.90699863
0.03333333,-1.341013,-0.9126687
0.05,-1.340973,-0.9191561
0.06666667,-1.375175,-0.9267726
0.08333333,-1.375353,-0.9359569
0.1,-1.375455,-0.94730467
0.1166667,-1.375518,-0.96158814
0.1333333,-1.440311,-0.979738
0.15,-1.440408,-1.0027493
0.1666667,-1.583824,-1.0314661
0.1833333,-1.583824,-1.0662383
0.2,-1.583496,-1.1065472
0.2166667,-1.583517,-1.150825
0.2333333,-1.663047,-1.1967041
0.25,-1.663756,-1.2416862
0.2666667,-1.663969,-1.2838793
0.2833333,-1.714796,-1.3224114
0.3,-1.937927,-1.3573998
0.3166667,-1.937927,-1.3896406
0.3333333,-1.937927,-1.4202487
0.35,-2.132337,-1.4503653
0.3666667,-2.132237,-1.4809552
0.3833333,-2.132244,-1.5126745
0.4,-2.132276,-1.5458004
0.0,-1.422124,-0.90192914
0.01666667,-1.421741,-0.90699863
0.03333333,-1.421797,-0.9126687
0.05,-1.421826,-0.9191561
0.06666667,-1.427564,-0.9267726
0.08333333,-1.427303,-0.9359569
0.1,-1.427149,-0.94730467
0.1166667,-1.462495,-0.96158814
0.1333333,-1.462363,-0.979738
0.15,-1.462251,-1.0027493
0.1666667,-1.568171,-1.0314661
0.1833333,-1.568171,-1.0662383
0.2,-1.568171,-1.1065472
0.2166667,-1.64329,-1.150825
0.2333333,-1.635337,-1.1967041
0.25,-1.611825,-1.2416862
0.2666667,-1.672964,-1.2838793
0.2833333,-1.829954,-1.3224114
0.3,-1.827198,-1.3573998
0.3166667,-1.827084,-1.3896406
0.3333333,-1.827092,-1.4202487
0.35,-2.011824,-1.4503653
0.3666667,-2.011824,-1.4809552
0.3833333,-2.011824,-1.5126745
0.4,-2.207472,-1.5458004
0.4166667,-2.207472,-1.5802355
0.4333333,-2.207472,-1.615622
0.45,-2.207472,-1.6515672
0.4666667,-2.317696,-1.6879251
0.4833333,-2.317696,-1.7250156
0.0,-0.1323012,-0.90192914
0.01666667,-0.1321872,-0.90699863
0.03333333,-0.1328611,-0.9126687
0.05,-0.132731,-0.9191561
0.06666667,-0.13834,-0.9267726
0.08333333,-0.1384605,-0.9359569
0.1,-0.1385288,-0.94730467
0.1166667,-0.1385725,-0.96158814
0.1333333,-0.1670681,-0.979738
0.15,-0.1670973,-1.0027493
0.1666667,-0.1671253,-1.0314661
0.1833333,-0.1671405,-1.0662383
0.2,-0.2746234,-1.1065472
0.2166667,-0.2746234,-1.150825
0.2333333,-0.2746234,-1.1967041
0.25,-0.352298,-1.2416862
0.2666667,-0.3515368,-1.2838793
0.2833333,-0.3507191,-1.3224114
0.3,-0.3789925,-1.3573998
0.3166667,-0.5283281,-1.3896406
0.3333333,-0.5283281,-1.4202487
0.35,-0.5283281,-1.4503653
0.3666667,-0.5284373,-1.4809552
0.3833333,-0.7139657,-1.5126745
0.4,-0.7139657,-1.5458004
0.4166667,-0.7139657,-1.5802355
0.4333333,-0.7892033,-1.615622
0.45,-0.7888375,-1.6515672
0.4666667,-0.7886214,-1.6879251
0.4833333,-1.196624,-1.7250156
0.5,-1.196624,-1.7636404
0.5166667,-1.196624,-1.8047642
0.5333333,-1.196624,-1.8488529
0.0,-0.4902678,-0.90192914
0.01666667,-0.5118352,-0.90699863
0.03333333,-0.5118947,-0.9126687
0.05,-0.5119294,-0.9191561
0.06666667,-0.5687841,-0.9267726
0.08333333,-0.5687766,-0.9359569
0.1,-0.5687427,-0.94730467
0.1166667,-0.5687232,-0.96158814
0.1333333,-0.6985642,-0.979738
0.15,-0.6985642,-1.0027493
0.1666667,-0.6986144,-1.0314661
0.1833333,-0.6984662,-1.0662383
0.2,-0.7931272,-1.1065472
0.2166667,-0.800034,-1.150825
0.2333333,-1.028367,-1.1967041
0.25,-1.028367,-1.2416862
0.2666667,-1.028367,-1.2838793
0.2833333,-1.028367,-1.3224114
0.3,-1.226248,-1.3573998
0.3166667,-1.226248,-1.3896406
0.3333333,-1.226248,-1.4202487
0.35,-1.226248,-1.4503653
0.3666667,-1.2972,-1.4809552
0.3833333,-1.297089,-1.5126745
0.4,-1.296971,-1.5458004
0.4166667,-1.750461,-1.5802355
0.4333333,-1.750461,-1.615622
0.45,-1.750461,-1.6515672
0.4666667,-1.750461,-1.6879251
0.4833333,-2.059434,-1.7250156
0.5,-2.059434,-1.7636404
0.5166667,-2.059434,-1.8047642
0.5333333,-2.059434,-1.8488529
0.0,-1.741774,-0.90192914
0.01666667,-1.742161,-0.90699863
0.03333333,-1.742068,-0.9126687
0.05,-1.745682,-0.9191561
0.06666667,-1.745785,-0.9267726
0.08333333,-1.762981,-0.9359569
0.1,-1.763071,-0.94730467
0.1166667,-1.763143,-0.96158814
0.1333333,-1.798468,-0.979738
0.15,-1.798546,-1.0027493
