	masa A						
t	x	y	vx	vy	ax	ay	
0.000000E0	-1.558397E-1	-7.569277E-1				
1.666667E-2	-1.557383E-1	-7.564242E-1	7.597998E-2	-2.906381E-1		
3.333333E-2	-1.533070E-1	-7.666157E-1	1.672231E-1	-9.878121E-1	3.961844E-2	-6.860163E0
5.000000E-2	-1.501642E-1	-7.893513E-1	8.780799E-2	-6.788885E-1	-1.551595E0	-1.376396E1
6.666667E-2	-1.503801E-1	-7.892453E-1	7.158825E-2	-1.046637E0	-1.488605E0	5.609185E0
8.333333E-2	-1.477779E-1	-8.242392E-1	8.666053E-2	-1.041786E0	3.454456E0	-2.882054E1
1.000000E-1	-1.474914E-1	-8.239715E-1	1.376092E-1	-1.358312E0	-3.821638E-1	1.258974E1
1.166667E-1	-1.431909E-1	-8.695162E-1	1.357224E-1	-1.361772E0	-1.379438E0	-3.545204E1
1.333333E-1	-1.429673E-1	-8.693638E-1	3.622384E-2	-1.706873E0	-3.051595E0	1.952976E1
1.500000E-1	-1.419835E-1	-9.264120E-1	5.812001E-2	-1.650161E0	5.486614E0	-4.733975E1
1.666667E-1	-1.410300E-1	-9.243692E-1	1.957957E-1	-2.201252E0	1.433495E0	1.898225E1
1.833333E-1	-1.354570E-1	-9.997871E-1	1.692225E-1	-2.258421E0	-1.152811E0	-8.528641E1
2.000000E-1	-1.353892E-1	-9.996499E-1	7.959328E-2	-3.555448E0	-4.437458E0	1.648104E1
2.166667E-1	-1.328038E-1	-1.118302E0	7.756086E-2	-3.559562E0	-5.039991E0	-3.437258E1
2.333333E-1	-1.328038E-1	-1.118302E0	-1.061869E-1	-2.778201E0	4.837112E-1	6.792566E1
2.500000E-1	-1.363434E-1	-1.210909E0	3.857566E-2	-2.967497E0	1.038376E1	-6.267918E1
2.666667E-1	-1.315180E-1	-1.217219E0	3.221476E-1	-3.311891E0	4.199936E0	4.496748E1
2.833333E-1	-1.256052E-1	-1.321305E0	1.773851E-1	-3.122595E0	-8.004174E0	6.002036E1
3.000000E-1	-1.256052E-1	-1.321305E0	0.000000E0	-0.000000E0	-1.596838E1	5.789198E1
3.166667E-1	-1.256052E-1	-1.321305E0	-2.883594E-1	-1.434079E0	1.530942E1	-1.057327E2
3.333333E-1	-1.352171E-1	-1.369108E0	3.023450E-1	-3.800909E0	1.935642E1	-1.470602E2
3.500000E-1	-1.155270E-1	-1.448002E0	7.157347E-1	-6.189709E0	-2.383130E0	1.755648E1
3.666667E-1	-1.113593E-1	-1.575431E0	0.000000E0	-4.016869E0	-2.157773E1	-6.210252E0
3.833333E-1	-1.155270E-1	-1.581898E0	-3.864601E-2	-4.556397E0	-6.625030E-1	5.961158E1
4.000000E-1	-1.126475E-1	-1.727311E0	8.638429E-2	-4.362407E0	2.805880E0	-6.813302E1
4.166667E-1	-1.126475E-1	-1.727311E0	0.000000E0	-4.362407E0	5.923494E0	-8.663110E1
4.333333E-1	-1.126475E-1	-1.872725E0	2.591529E-1	-9.070350E0	0.000000E0	-1.480874E1
4.500000E-1	-1.040091E-1	-2.029656E0	1.295764E-1	-4.967097E0	-2.221310E0	5.257101E1
4.666667E-1	-1.083283E-1	-2.038295E0	0.000000E0	-5.312634E0	-4.442621E0	7.922673E1
4.833333E-1	-1.040091E-1	-2.206744E0	1.295764E-1	-5.053481E0	9.625678E0	-8.218848E1
5.000000E-1	-1.040091E-1	-2.206744E0	2.159607E-1	-5.183057E0	-7.404368E-1	8.440979E1
5.166667E-1	-9.681039E-2	-2.379513E0	2.159607E-1	-5.183057E0		
5.333333E-1	-9.681039E-2	-2.379513E0				
