t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-1.613139,,,-0.006179998763998101,
0.01666667,-1.613242,0.01591756,,0.015900001590004403,2.6496011023207413
0.03333333,-1.612609,-0.1672239,-3.592948,-0.1672200167220007,-24.62399890488179
0.05,-1.618816,-0.1914756,-12.93528,-0.19145996170801097,21.715191313922737
0.06666667,-1.618991,-0.4540297,-1.440163,-0.454020045402004,-53.22242698921097
0.08333333,-1.63395,-0.4552304,7.637394,-0.4552500455250026,53.074827003971095
0.1,-1.634166,-0.01012269,-11.41364,-0.010139988846010752,0.3384003506380266
0.1166667,-1.634288,-0.7867242,-13.26824,-0.7867207867207879,-93.52847027717252
0.1333333,-1.66039,-0.7868179,-23.30521,-0.7868107868107869,93.51767028797254
0.15,-1.660515,-1.076801,8.597268,-1.0767878464243053,-128.31428674234002
0.1666667,-1.696283,-1.070714,-57.87297,-1.0707010707010705,129.04547263959225
0.1833333,-1.696205,-2.22707,-1.46814,-2.2270822270822253,-267.8109338744084
0.2,-1.770519,-2.229406,-23.36786,-2.2294155411689185,267.52932988161035
0.2166667,-1.770519,-1.793929,45.90047,-1.793911793911798,-215.2702763505211
0.2333333,-1.830316,-1.787607,-39.11189,-1.7876117876117887,216.02627559452336
0.25,-1.830106,-2.034567,26.58665,-2.0345659308681348,-245.65941736134812
0.2666667,-1.898135,-2.035769,-46.22282,-2.0357720357720317,245.51615815634744
0.2833333,-1.897965,-2.359728,29.4841,-2.3597423597423623,-284.39251928006496
0.3,-1.976793,-2.3608,-69.04078,-2.360785278429446,284.26566293621187
0.3166667,-1.976658,-3.188969,26.27367,-3.1889731889731925,-383.65031533404886
0.3333333,-2.083092,-3.193017,-51.07042,-3.1930231930232016,383.16431582004805
0.35,-2.083092,-3.082014,-11.64338,-3.0820138359723233,-369.8409206348367
0.3666667,-2.185826,-5.073623,-21.42369,-5.073635073635061,130.84763518768992
0.3833333,-2.252213,-3.161669,88.7596,-3.1616731616731526,98.58733537779744
0.4,-2.291215,-2.074027,72.84533,-2.074015851968296,31.931872272382506
0.4166667,-2.321347,-0.9039668,,-0.9039609039609067,108.47509152512588
0.4333333,-2.321347,,,0.0,
